'JSP000476.triangle_succ' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP000476.triangle_double' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP000476.le_triangle' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP000476.subset_sum_le_triangle' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP000476.all_sums_attained' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP000476.multiples_card' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP000476.prime_mul_not_power' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP000476.multiples_power_free' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP000476.power_free_square_free' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP000476.multiples_square_witness' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP000476.multiples_square_free_iff' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP000476.multiples_power_free_iff' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP000476.exact_criterion' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP000476.exists_power_free_card' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP000476.exists_power_free_in_interval' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP000476.cubic_lower_bound' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP000476.example_twelve' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP000476.squarefree_mul_not_power' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP000476.multiple_sum_realization' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP000476.squarefree_multiples_power_free' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP000476.squarefree_exact_criterion' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP000476.cancel_square_factor' depends on axioms: [propext, Quot.sound]
'JSP000476.general_step_criterion' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP000476.all_positive_steps_classified' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP000476.nonsquare_step_does_not_imply_power_avoidance' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP000476.squareSumFree_iff_upstream' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP000476.extremal_eq_upstream' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP000476.card_le_extremal' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP000476.exists_extremizer' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP000476.extremal_le_interval' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP000476.extremal_zero' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP000476.extremal_mono' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP000476.extremal_lower_bound' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP000476.uniform_polylog_upper_bound' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP000476.complete_extremal' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP000476.complete_problem' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP000476.eventual_square_forcing' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos587.unconditional_nguyen_vu' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos587.upper_bound' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos587.eventually_power_bounds' depends on axioms: [propext, Classical.choice, Quot.sound]
