'JSP000530.Research.distance_fiber_le_three' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP000530.Research.sum_distance_fibers' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP000530.Research.slack_eq_small_fibers' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP000530.Research.slack_identity' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP000530.Research.one_third_bound' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP000530.Research.slack_identity_real' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP000530.Research.improvement_iff_linear_slack' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP000530.Research.uniform_improvement_iff_slack' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP000530.Research.equidistant_centers_collinear' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP000530.Research.equidistant_centers_le_two' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP000530.Research.bent_cross_difference' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP000530.Research.bending_breaks_cross_pair' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP000530.Research.distance_eq_of_sqDist_eq' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP000530.Research.bent_symmetric_circle' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP000530.Research.quadratic_bending_not_no_four' depends on axioms: [propext, Classical.choice, Quot.sound]
