'JSP000636.antichain_iff_isAntichain' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP000636.twins_of_multiplicity' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP000636.card_pos_of_twins' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP000636.antichain_complements' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP000636.twins_complements' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP000636.card_sizes_complements' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP000636.card_le_of_singleton' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP000636.size_count_le_of_singleton' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP000636.size_count_le' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP000636.card_eq_mul_size_count' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP000636.exact_multiplicity_card_le' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP000636.sharp_at_four' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP000636.three_is_exception' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP000636.one_is_exception' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP000636.pair_eq_of_mem' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP000636.pair_of_mem' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP000636.mem_crossPairs' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP000636.hits_crossPairs' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP000636.cross_intersecting_pairs_intersect' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP000636.intersecting_pairs_star' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP000636.star_image' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP000636.card_leaves' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP000636.common_star' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP000636.level_card_ge' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP000636.complements_involutive' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP000636.multiplicity_complements' depends on axioms: [propext, Classical.choice, Quot.sound]
