'JSP000725.sum_lower' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP000725.sum_upper' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP000725.interval_ordered_sums' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP000725.interval_admissible' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP000725.interval_card' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP000725.length_le_endpoint' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP000725.construction_for_every_N' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP000725.even_length_family' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP000725.sum_block' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP000725.boundary_obstruction' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP000725.card_toInt' depends on axioms: [propext, Quot.sound]
'JSP000725.sum_toInt' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP000725.admissible_iff_cardinality_determined' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP000725.admissible_iff_upstream' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP000725.bounded_iff' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP000725.boundedAdmissible_iff' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP000725.exists_nat_preimage' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP000725.mem_admissibleFamily' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP000725.maxCard_eq_upstream' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP000725.strausLength_feasible' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP000725.terminalInterval_spec' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP000725.card_le_maxCard' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP000725.eventual_maxCard_exact' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP000725.eventual_terminalInterval_optimal' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP000725.maxCard_asymptotic' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP000725.jsp_000725' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos874.erdos_874_eventual_exact' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos874.erdos_874' depends on axioms: [propext, Classical.choice, Quot.sound]
