'JSP000728.mem_maximalSets' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP000728.exists_maximal_extension' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP000728.pick_bounds' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP000728.pick_sum_ne' depends on axioms: [propext, Quot.sound]
'JSP000728.seed_subset' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP000728.seed_sumFree' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP000728.different_choices_incompatible' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP000728.lower_bound_multiple' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP000728.cameron_erdos_lower_bound' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP000728.sumFree_iff_upstream' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP000728.maximalSumFree_iff_upstream' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP000728.maximalSets_eq_upstream' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP000728.maximalSets_card_eq_upstream' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP000728.allSumFreeSets_eq_upstream' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP000728.upperHalf_powerset_subset' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP000728.allSumFreeSets_lower_bound' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP000728.benchmark_le_allSumFreeSets' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP000728.maximalCount_isLittleO_benchmark' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP000728.maximalCount_exponential_bound' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP000728.upstream_count_lower_bound' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP000728.maximalCount_isLittleO_allCount' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP000728.maximal_to_all_ratio_tendsto_zero' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP000728.relative_exponential_saving' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP000728.jsp_000728' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos877.erdos_877' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos877.erdos_877_exponential_bound' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos877.resolutionExponent_lt_half' depends on axioms: [propext, Classical.choice, Quot.sound]
