'JSP000393.family_counts' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP000393.arbitrarily_sparse_squares' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos485.f_attained' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos485.schinzel_support_bound' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos485.erdos_485' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP000393Complete.integer_support' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP000393Complete.rational_family_counts' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP000393Complete.minimum_family_upper_bound' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP000393Complete.arbitrarily_large_small_ratio' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP000393Complete.integer_schinzel_bound' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP000393Complete.integer_uniform_threshold' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP000393Complete.minimum_diverges' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP000393Complete.jsp_000393' depends on axioms: [propext, Classical.choice, Quot.sound]
